2,Victoria Park,Public Parks & Gardens,6.1559
9,Ballantyne Road,Residential,0.5302
10,Keddie Park,Public Parks & Gardens,0.5482
11,Water of Leith,Green Corridors,0.6178
16,Rosebank Cemetery,Cemetery,4.3646
17,Redbraes Park,Public Parks & Gardens,1.0932
21,Leith Links West,Public Parks & Gardens,1.0158
23,Leith Links,Public Parks & Gardens,10.8142
28,Disused Railway Network,Green Corridors,1.9328
32,Pilrig Park,Public Parks & Gardens,6.8830
35,Water of Leith,Green Corridors,0.5973
36,Dalmeny Street Park,Public Parks & Gardens,0.7975
42,Disused Railway Network,Green Corridors,2.3474
44,Seafield Cemetery,Cemetery,4.7935
46,Lochend Park,Public Parks & Gardens,8.4244
55,Montgomery Street Park,Public Parks & Gardens,1.2562
57,Hillside Crescent Gardens,Public Parks & Gardens,0.5861
58,London Road Gardens,Public Parks & Gardens,4.2215
63,King George V Park (Eyre Place),Public Parks & Gardens,1.9748
68,The Meadows and Bruntsfield Links,Public Parks & Gardens,25.1335
69,Piershill Cemetery,Cemetery,5.2026
75,Disused Railway Network,Green Corridors,0.5959
77,Disused Railway Network,Green Corridors,0.5682
78,Disused Railway Network,Green Corridors,0.6444
79,Starbank Park,Public Parks & Gardens,1.0420
82,Disused Railway Network,Green Corridors,5.2653
84,Disused Railway Network,Green Corridors,0.6776
85,Disused Railway Network,Green Corridors,1.2052
88,Lower Granton Road,Green Corridors,1.3629
90,Granton Crescent Park,Public Parks & Gardens,1.7162
91,East Pilton Park,Public Parks & Gardens,2.8245
95,Ferry Road,Residential,0.7571
97,Silverknowes Park,Public Parks & Gardens,5.4067
100,Muirhouse Grove,Residential,1.2103
101,Muirhouse View,Residential,1.3905
106,Muirhouse Park/Silverknowes Primary School,Public Parks & Gardens,1.9542
107,Muirhouse Millenium Linear Park,Public Parks & Gardens,1.4186
108,Disused Railway Network,Green Corridors,1.3608
109,Disused Railway Network,Green Corridors,0.7614
116,West Pilton Park,Public Parks & Gardens,4.7935
118,Inchcolm/Inchgarvie Court,Residential,0.5903
121,Disused Railway Network,Transport,1.0274
130,Water of Leith,Green Corridors,0.8915
135,Lauriston Castle,Public Parks & Gardens,12.9869
139,Royal Botanic Gardens,Public Parks & Gardens,23.2190
141,Rocheid Path,Green Corridors,1.1830
155,Wester Drylaw Place/Drive,Residential,0.7193
156,Wester Drylaw/Drylaw House,Residential,1.2940
159,House 'O Hill,Residential,0.7255
160,Disused Railway Network,Green Corridors,2.7463
161,Easter Drylaw Gardens & Church,Residential,0.8806
170,Easter Drylaw Park,Public Parks & Gardens,1.8403
171,Easter Drylaw,Green Corridors,2.4379
178,Ravelston Park,Public Parks & Gardens,1.5969
181,Disused Railway Network,Green Corridors,2.4010
182,Disused Railway Network,Green Corridors,2.1055
183,Orchard (Brae) Park North & South,Public Parks & Gardens,0.5682
184,Orchard (Brae) Park North & South,Public Parks & Gardens,1.9179
185,Disused Railway Network,Green Corridors,1.7319
186,Water of Leith,Green Corridors,2.2482
188,Scottish National Gallery of Modern Art,Institutions,2.1178
191,Meadowfield Park,Public Parks & Gardens,17.7523
193,Corstorphine Hill,Semi-natural Park,78.7548
195,Disused Railway Network,Green Corridors,1.8264
198,Corstorphine Road,Residential,1.1409
201,Roseburn Park,Public Parks & Gardens,5.5645
202,Water of Leith,Green Corridors,0.9160
207,Edinburgh Western or Dean Cemetery,Cemetery,3.4912
213,Water of Leith,Green Corridors,1.2147
214,Water of Leith,Green Corridors,0.6181
217,St Andrew Square,Public Parks & Gardens,1.0311
221,Princes Street Gardens East & West,Public Parks & Gardens,3.2222
223,Edinburgh Castle Esplanade,Civic space,0.6240
224,Princes Street Gardens East & West,Public Parks & Gardens,11.0359
226,The Meadows and Bruntsfield Links,Public Parks & Gardens,4.3723
234,Burdiehouse Burn Valley Park inc Moredun Wood,Green Corridors,5.3611
237,King George V,Public Parks & Gardens,0.6454
239,Sighthill Park,Public Parks & Gardens,13.0978
241,Blinkbonny Park,Public Parks & Gardens,4.5035
255,Edinburgh Western or Dean Cemetery,Cemetery,1.3280
256,Disused Railway Network,Green Corridors,2.8928
258,Comely Bank Cemetery,Cemetery,2.8704
