Community center ID,Site Name,Shortest Road Distance without Existing CCs (m)
30,LB26704,811.7233507
16,LB26731,494.9379635
30,LB26743,821.2059986
21,LB26822,2284.115984
11,LB27152,2035.302165
22,LB27230,1004.856762
22,LB27701,581.3073574
24,LB27737,267.1831329
22,LB27790,645.1832405
16,LB28127,1641.771367
18,LB28164,3048.082956
18,LB28165,2327.353442
5,LB28200,1511.845778
26,LB28256,598.3357702
29,LB28598,958.6027148
33,LB28749,908.041836
33,LB28750,797.1666916
30,LB29200,1434.488242
12,LB29202,1907.024022
33,LB29400,1748.82184
5,LB29817,2079.788408
13,LB29912,2073.247936
13,LB29914,2199.424429
13,LB29915,2295.475212
13,LB29916,2311.300225
20,LB29939,906.6592631
33,LB29996,1121.004235
29,LB30114,1036.91122
11,LB30152,1409.921267
5,LB30257,2137.316802
6,LB30321,2506.32739
21,LB30327,1923.762224
25,LB40355,734.3044126
25,LB40356,661.2206986
25,LB40367,302.7483096
28,LB40368,532.6848371
9,LB43256,140.8077511
33,LB43688,1670.32865
33,LB43689,1551.090657
13,LB46550,2443.969624
33,LB46726,1045.235017
33,LB46735,1522.659882
31,LB47030,603.6022022
6,LB47283,2463.373528
29,LB47863,722.3229679
29,LB47865,735.4962773
29,LB47866,738.2408842
31,LB47883,1072.689925
30,LB48283,876.4019229
20,LB49050,918.3871345
29,LB49510,1355.848746
19,LB49512,739.2571891
7,LB49513,1268.753068
19,LB49514,765.0945774
5,LB49567,1948.754281
6,LB49576,2187.699751
30,LB51393,1292.180069
30,LB51394,2132.425039
30,LB51395,1903.434702
28,LB5538,2026.058603
28,LB5540,2031.9262
18,LB5568,2334.467128
18,LB5569,2317.402494
14,LB6114,2089.016821
14,LB6122,986.0600157
